sensor,warn,crit,name,type,pos
Module voltage,3.3,3.5,in_module_voltage,V,-2
Module temperature,40,45,temp_module_temperature,C,-7
Laser tx bias current (Channel 1),6,7,in_laser_tx_bias1,mA,-2
Laser tx bias current (Channel 2),6,7,in_laser_tx_bias2,mA,-2
Laser tx bias current (Channel 3),6,7,in_laser_tx_bias3,mA,-2
Laser tx bias current (Channel 4),6,7,in_laser_tx_bias4,mA,-2
Transmit avg optical power (Channel 1),1.5,2,in_transmit_power1,dBm,-2
Transmit avg optical power (Channel 2),1.5,2,in_transmit_power2,dBm,-2
Transmit avg optical power (Channel 3),1.5,2,in_transmit_power3,dBm,-2
Transmit avg optical power (Channel 4),1.5,2,in_transmit_power4,dBm,-2
Rcvr signal avg optical power(Channel 1),1.5,2,in_rsvr_power1,dBm,-2
Rcvr signal avg optical power(Channel 2),1.5,2,in_rsvr_power2,dBm,-2
Rcvr signal avg optical power(Channel 3),1.5,2,in_rsvr_power3,dBm,-2
Rcvr signal avg optical power(Channel 4),1.5,2,in_rsvr_power4,dBm,-2
